100 3712
83 88 85
63 88 84
22 7 39
85 98 41
80 83 8
35 56 23
85 16 8
77 79 38
96 83 42
43 71 85
86 45 3
78 20 13
55 99 22
7 56 69
40 51 83
49 69 95
90 48 98
59 9 7
43 22 85
34 2 1
15 99 49
16 96 68
73 6 97
67 57 66
27 78 93
78 13 9
47 22 26
38 96 98
71 53 37
13 94 58
77 22 33
0 19 77
38 92 64
27 11 39
12 47 14
95 19 66
51 82 5
95 50 53
17 19 54
36 93 72
50 47 16
70 9 83
61 55 12
54 73 95
80 90 2
65 99 47
81 12 51
80 6 39
72 43 80
63 95 77
22 74 83
36 59 51
84 27 28
43 84 9
59 31 7
35 33 30
14 39 48
58 61 91
92 74 98
98 78 9
12 68 50
20 11 87
16 85 44
2 77 92
95 71 89
87 66 77
37 10 75
76 26 53
35 77 72
4 52 28
92 91 43
38 97 48
94 27 50
74 13 58
12 50 37
88 68 91
33 12 36
67 58 15
35 90 47
71 9 64
42 72 45
99 53 61
88 47 68
49 50 71
73 6 87
35 94 17
10 1 8
22 49 3
55 32 43
16 49 99
46 45 56
0 15 97
77 22 23
67 40 3
57 83 38
37 83 37
37 61 98
53 17 8
89 55 100
33 36 20
69 89 36
19 54 94
68 18 44
51 8 46
58 29 35
5 10 76
67 27 69
5 97 44
65 53 65
28 64 65
29 33 46
1 3 95
86 4 54
50 17 20
35 59 37
5 57 7
94 99 52
76 26 66
16 20 76
64 28 8
73 15 33
58 3 18
0 98 72
96 68 1
25 58 3
79 82 44
92 33 51
96 77 86
35 9 72
44 42 27
74 8 78
72 8 85
61 9 7
47 46 57
92 66 84
46 17 56
3 95 99
15 90 88
77 33 51
22 63 36
14 20 24
70 65 94
57 10 66
36 8 80
25 95 42
82 96 36
40 78 80
98 97 97
65 0 35
65 63 91
3 73 53
90 67 28
80 24 60
53 77 7
33 4 22
97 0 52
20 46 76
92 4 1
0 93 7
97 98 66
1 0 75
15 69 6
60 86 57
53 39 17
98 12 31
59 21 46
49 23 80
85 96 74
88 92 65
4 36 51
26 41 79
51 68 50
10 74 67
49 41 97
16 51 18
26 93 89
0 76 39
93 55 55
49 5 31
31 38 63
72 38 89
33 61 39
3 67 99
75 85 75
59 23 91
33 73 13
83 46 17
35 24 69
72 73 83
10 91 12
4 72 95
99 42 55
17 74 91
13 75 2
56 48 79
11 94 78
94 7 44
62 31 97
12 33 36
99 22 82
57 50 93
39 97 23
95 83 7
33 18 55
89 36 90
9 94 28
63 79 54
12 15 24
9 86 24
39 46 57
69 5 45
40 16 95
11 72 37
73 54 71
26 61 6
2 51 56
18 9 62
21 46 91
8 35 33
98 61 21
0 3 67
23 24 64
90 30 100
38 28 14
62 96 54
68 46 50
41 65 41
3 66 3
12 53 28
98 0 10
1 87 33
90 54 84
14 90 87
81 68 24
7 29 26
74 99 83
45 19 15
15 83 16
13 97 2
16 17 95
53 80 44
1 66 95
20 95 43
32 89 67
93 75 23
2 38 94
64 95 42
40 16 72
95 93 70
68 38 87
63 84 2
75 57 3
16 68 33
39 9 8
91 90 96
32 94 38
47 70 93
73 95 85
11 10 75
53 21 79
62 81 88
53 54 27
33 40 91
49 8 31
10 31 73
16 55 99
71 77 12
69 85 23
68 46 63
51 24 11
67 97 85
63 86 47
15 90 32
43 5 64
96 55 47
29 83 4
37 93 44
83 59 67
10 95 93
11 71 26
56 90 7
85 67 99
35 47 20
0 2 56
38 8 53
82 77 3
93 97 24
60 91 80
99 72 45
71 49 71
78 16 88
85 16 53
44 68 37
54 12 32
51 22 59
21 81 2
38 57 31
99 36 91
34 9 49
66 15 24
9 59 32
2 5 15
44 15 30
59 40 3
88 92 9
93 40 20
33 62 92
74 16 39
73 59 32
37 92 56
16 98 74
5 85 4
70 75 96
79 50 54
32 10 57
77 55 27
0 49 29
98 36 39
88 94 55
44 82 56
46 36 26
47 64 68
72 92 4
58 49 63
49 96 13
93 84 62
30 91 50
64 10 74
67 72 10
35 22 89
58 64 48
93 24 47
72 31 30
88 64 68
58 32 95
67 33 18
97 53 15
21 36 93
13 38 64
38 32 100
98 94 21
77 92 35
51 95 25
25 16 56
39 11 44
4 47 18
18 42 62
11 74 49
38 66 92
67 58 47
80 49 46
4 10 99
76 50 69
69 29 81
36 82 80
51 6 32
23 77 78
87 12 30
36 7 49
97 6 61
77 94 80
98 89 27
57 65 52
27 77 6
59 13 4
7 84 50
26 53 95
79 15 45
29 0 81
69 30 18
91 7 65
87 80 57
17 73 83
29 77 41
15 54 77
91 70 84
82 49 16
9 99 58
38 37 42
13 30 36
34 11 85
96 87 83
9 90 95
65 55 62
71 32 93
32 50 83
84 50 97
4 94 75
71 63 80
0 40 50
12 8 85
89 68 79
10 74 37
83 89 56
4 23 51
28 93 52
30 38 28
71 33 57
42 47 33
43 10 2
77 23 33
15 48 38
59 84 41
94 62 58
38 52 63
6 17 92
8 12 6
72 94 76
23 95 81
74 66 7
95 66 32
79 72 40
4 21 99
19 39 15
20 28 54
3 85 59
1 85 66
58 55 74
76 19 72
30 35 80
13 18 75
27 79 70
30 70 74
8 18 58
99 55 49
7 61 51
3 97 69
25 88 70
1 57 3
56 53 69
4 78 80
17 29 31
47 43 97
14 39 83
12 4 64
90 61 21
86 2 30
68 53 23
32 69 51
20 59 19
67 96 41
92 42 37
16 78 40
27 88 47
18 20 10
58 91 4
73 14 90
76 9 35
54 37 41
28 81 32
93 43 5
28 44 1
0 70 32
27 15 62
42 12 29
92 39 4
70 87 50
90 39 11
39 29 64
70 27 5
4 98 35
64 94 11
57 95 11
0 51 55
28 32 32
22 67 92
39 56 54
41 34 28
20 86 13
41 25 59
27 44 61
43 65 44
80 84 91
73 4 17
85 26 23
91 24 84
42 11 42
93 87 52
6 2 75
10 7 95
32 18 98
93 78 3
17 12 76
6 66 59
97 13 44
50 42 48
23 80 27
79 19 23
88 91 86
93 45 91
87 13 55
85 86 46
74 14 71
74 61 3
7 9 80
4 59 57
9 68 79
95 7 94
31 79 1
2 78 77
39 68 5
0 20 44
63 65 79
69 62 94
81 71 18
24 97 84
91 7 9
0 23 49
81 9 43
60 80 41
49 67 28
7 70 95
20 12 77
51 63 30
75 87 21
31 8 62
78 32 2
56 27 42
74 25 58
73 34 58
35 19 12
92 68 21
30 16 70
39 15 7
40 85 96
69 56 28
17 58 25
53 36 10
14 19 72
18 98 41
6 94 27
60 80 18
7 10 58
81 60 65
74 19 19
91 35 84
24 90 58
97 70 38
99 9 21
97 82 12
12 38 29
77 37 33
8 66 43
62 79 51
15 20 41
75 57 12
15 63 82
34 46 63
76 9 2
9 11 51
84 19 67
91 32 51
31 8 75
40 21 52
6 15 4
5 38 19
85 59 46
49 92 70
94 69 54
50 19 54
83 43 46
60 13 85
32 99 18
83 87 89
90 55 71
30 17 11
24 13 81
22 99 91
19 42 85
38 6 53
70 5 69
4 77 64
22 8 89
25 91 61
42 7 39
15 7 79
75 71 67
57 44 48
68 17 50
55 31 85
49 12 82
98 64 89
80 73 49
2 60 18
67 51 99
41 47 50
75 1 8
83 30 85
46 48 68
63 72 50
16 23 84
40 94 50
31 12 22
2 32 41
64 20 6
77 18 32
43 24 100
26 59 80
77 90 57
6 58 58
6 45 88
55 29 53
89 80 23
54 76 97
3 32 45
68 16 62
4 92 57
45 20 15
84 14 86
54 52 5
45 52 47
43 51 89
69 76 81
44 20 46
65 83 35
98 80 10
18 28 51
28 32 97
86 75 93
89 10 49
28 15 44
45 57 18
40 22 7
22 54 74
67 25 59
32 62 4
73 82 38
50 81 19
26 82 77
5 39 90
13 63 53
76 55 44
17 69 1
1 41 78
67 6 82
14 82 95
20 94 54
67 18 56
91 96 61
49 53 74
71 83 90
93 7 44
92 38 1
83 1 12
32 37 32
54 69 71
52 50 65
83 53 22
35 4 57
93 56 22
60 51 43
86 54 47
65 92 97
18 46 82
80 62 29
12 28 68
4 51 38
78 61 9
81 83 57
33 27 48
15 33 63
75 2 79
90 86 20
21 29 27
93 6 57
84 0 20
0 58 28
28 59 100
59 71 26
11 87 41
9 60 32
44 82 55
57 21 32
5 32 27
51 48 51
5 93 43
93 51 64
7 56 5
31 26 68
59 89 16
46 16 83
1 16 34
10 35 91
83 79 57
30 7 86
18 24 71
5 25 24
35 0 100
91 39 34
98 79 35
51 6 90
49 61 27
70 82 26
14 4 8
76 60 28
88 64 67
77 3 100
59 35 81
48 49 28
63 20 6
33 63 64
5 47 48
88 25 75
16 99 46
30 1 11
21 27 43
17 88 5
29 76 98
67 13 75
71 92 44
97 96 12
51 98 29
91 41 79
70 20 56
42 56 19
98 83 47
50 73 5
43 18 23
36 37 71
79 91 98
55 13 12
46 74 65
16 58 13
47 87 27
60 77 86
76 64 39
1 76 62
16 60 59
76 1 99
23 71 33
84 18 23
82 11 47
3 37 63
85 66 43
79 54 72
13 53 83
23 74 44
71 15 67
18 63 12
2 83 67
23 37 13
64 44 78
76 20 54
73 98 93
49 67 83
25 22 26
89 64 23
30 43 21
20 14 56
27 87 91
48 82 38
1 82 77
81 45 20
10 41 3
5 45 100
4 67 8
7 29 5
23 55 66
24 35 56
77 52 10
68 70 13
54 61 34
48 9 89
76 25 24
73 10 21
35 77 8
83 30 42
79 11 87
74 96 29
66 85 86
50 97 51
45 62 77
34 90 40
88 21 95
24 19 53
5 75 100
76 93 15
86 68 34
3 36 80
57 87 88
27 58 41
71 15 80
76 36 75
75 66 30
62 28 55
19 26 75
78 67 55
87 26 61
91 65 18
97 74 63
22 0 83
14 89 78
55 84 26
95 82 12
82 76 45
9 99 70
73 95 100
69 42 40
48 39 89
73 40 21
47 56 30
82 27 9
58 28 6
51 13 97
76 53 100
20 83 25
29 81 59
13 12 36
48 54 74
95 73 48
48 73 87
54 70 96
55 0 68
16 72 23
92 28 16
58 34 22
13 95 70
59 64 75
83 53 2
29 43 32
52 8 48
8 31 32
26 43 70
83 11 5
51 90 56
20 64 47
34 5 58
58 2 75
24 20 31
38 13 3
23 53 96
53 21 71
20 70 63
0 90 40
68 23 35
74 27 27
0 83 1
18 20 45
34 81 89
67 78 64
79 13 2
50 48 64
68 44 94
16 30 34
1 74 68
24 88 58
28 74 28
41 23 49
80 51 57
77 1 34
0 62 63
59 29 94
11 99 80
26 43 47
76 24 55
49 70 56
89 53 61
51 28 58
81 94 23
20 4 95
17 63 41
23 32 50
1 32 43
96 46 48
72 35 15
82 57 22
43 47 30
96 63 100
94 17 53
39 32 82
74 76 45
95 51 14
35 11 30
44 63 35
76 85 42
62 24 16
56 31 70
22 78 77
48 53 99
29 85 19
11 24 63
10 20 68
37 93 98
96 7 61
62 45 75
21 77 1
55 35 15
73 53 65
6 23 25
39 33 82
37 80 15
57 64 71
31 81 45
3 64 2
9 80 24
10 29 9
60 42 49
56 49 96
18 10 71
99 20 88
97 2 47
4 74 76
94 32 9
64 90 30
44 90 29
0 40 29
9 81 25
83 59 13
1 89 38
89 68 58
72 81 80
56 41 97
17 65 99
2 27 7
46 84 8
9 0 36
44 31 65
83 16 87
9 18 90
7 64 64
85 60 5
55 91 9
47 94 1
28 25 18
36 14 22
48 36 28
44 89 42
57 88 33
29 44 79
57 74 98
12 81 26
27 91 18
70 52 59
41 67 50
24 83 54
58 22 56
0 13 53
69 40 60
35 86 78
31 27 87
25 76 39
1 84 80
19 63 22
64 82 3
87 63 45
30 15 1
92 63 98
68 52 65
39 95 12
49 58 76
47 56 10
27 7 60
67 51 13
71 42 98
44 42 51
5 94 34
15 49 75
82 40 44
48 11 92
93 31 38
86 42 82
91 97 71
28 24 30
37 56 20
13 45 49
11 9 46
13 97 59
94 22 99
92 42 16
71 48 34
79 97 89
16 54 70
67 23 72
38 37 11
31 91 85
40 42 38
93 14 70
68 4 2
91 32 63
10 85 16
22 14 23
70 21 84
29 81 16
75 7 59
9 78 89
19 21 38
14 60 13
35 28 86
24 68 23
18 51 98
75 92 17
38 6 29
9 31 14
54 43 99
14 5 77
65 16 39
31 39 47
99 18 10
10 68 48
62 68 62
17 70 24
73 94 70
28 1 23
81 63 16
22 42 14
4 17 62
75 60 70
50 64 73
65 62 11
88 62 66
93 74 92
77 27 8
67 12 40
32 7 68
90 71 63
44 1 68
77 85 98
69 61 73
44 34 65
9 77 22
13 15 39
34 82 91
82 97 38
14 82 9
63 60 87
51 85 19
41 20 81
60 63 75
28 61 46
3 54 40
14 51 21
78 74 6
61 76 75
65 14 92
40 25 47
57 32 63
36 17 58
8 80 87
83 20 24
85 46 74
92 27 27
21 36 29
15 83 63
75 53 44
32 92 3
79 16 5
60 53 2
33 39 58
41 20 58
43 33 52
25 94 60
72 36 53
64 39 45
29 98 59
52 78 18
52 43 60
87 51 37
4 94 34
18 33 34
23 26 48
55 93 57
62 21 84
40 2 77
26 46 23
77 3 14
61 3 67
4 88 76
92 25 74
25 8 29
12 21 99
67 30 42
29 72 42
21 1 48
34 37 37
64 23 41
12 44 88
11 60 64
57 54 100
1 69 44
71 88 73
95 10 96
44 5 28
45 13 80
0 34 92
76 84 11
14 69 29
95 80 11
1 8 70
4 35 41
73 59 43
99 34 65
20 54 7
66 61 38
55 86 31
47 95 66
88 2 19
78 96 99
19 36 26
85 3 22
46 20 65
93 65 96
75 39 99
86 58 6
82 65 53
40 94 29
15 12 29
52 13 22
45 25 31
64 14 91
38 64 94
12 95 3
25 32 75
49 21 2
70 97 23
65 54 95
37 49 82
51 3 69
90 25 35
74 4 89
1 35 37
66 81 30
50 20 11
63 97 94
99 89 14
77 96 52
35 50 90
30 29 14
59 81 64
67 79 37
88 65 15
10 55 58
40 89 71
82 38 76
80 19 70
6 94 81
1 91 53
69 99 80
86 63 98
6 65 54
86 55 14
74 25 4
19 77 40
29 37 10
0 46 20
64 60 35
64 52 94
3 18 98
25 10 64
1 73 41
12 25 64
2 0 81
14 76 58
