1000 2000
802 130 75
436 550 20
606 465 83
589 427 79
735 720 8
876 741 43
214 100 51
890 505 12
921 216 45
723 406 95
168 99 12
275 866 56
299 654 79
418 664 99
188 582 98
360 374 1
740 554 5
903 380 87
691 898 4
472 435 21
450 443 31
432 814 58
741 690 75
533 971 8
662 144 51
987 242 4
959 245 82
426 259 17
526 905 97
295 343 22
954 978 65
31 495 34
83 232 83
817 23 67
741 802 28
903 528 84
802 334 97
233 978 15
250 974 78
128 49 51
902 400 47
993 184 61
708 758 99
604 950 93
58 590 67
141 554 29
566 667 4
33 653 69
3 74 27
166 13 23
674 950 27
224 987 59
205 963 78
893 999 17
848 550 43
385 615 20
805 36 31
859 651 81
380 999 17
588 302 26
263 79 34
366 526 2
379 81 9
168 9 85
807 337 56
599 396 25
965 165 70
419 756 92
14 614 4
605 797 61
336 814 68
827 93 42
152 952 7
761 270 95
837 414 59
736 623 79
555 281 80
488 737 69
260 998 91
175 504 51
591 955 34
237 15 91
544 814 10
659 65 73
715 62 22
158 502 6
50 320 34
497 929 90
750 733 83
288 139 28
742 735 54
345 856 6
227 276 61
766 942 29
266 617 96
39 6 8
667 74 9
954 92 60
872 417 83
1 800 100
448 649 59
643 558 96
40 92 77
104 839 7
569 5 24
432 46 22
282 492 82
34 795 88
496 689 60
591 72 44
636 737 57
576 437 78
549 670 4
616 78 91
964 199 90
698 865 59
856 975 50
373 634 69
0 417 80
592 586 66
16 491 38
186 914 99
589 750 65
86 535 66
337 817 37
923 484 52
328 231 98
210 585 7
348 988 54
522 667 98
286 984 81
842 501 75
561 905 95
479 588 14
377 868 33
601 468 10
38 249 18
806 304 23
339 935 98
459 813 72
996 409 17
183 515 46
68 855 80
205 188 3
781 168 1
832 585 12
124 510 24
56 93 40
548 331 95
610 92 75
85 639 60
238 462 86
562 73 76
62 935 84
38 608 49
316 970 95
989 620 39
257 438 26
922 945 47
157 784 20
64 809 36
564 503 67
828 852 75
201 353 62
617 756 5
795 391 2
255 28 48
965 681 29
780 198 61
816 220 89
192 251 92
922 667 74
502 627 54
784 686 85
984 77 68
312 32 89
464 741 96
835 688 83
292 275 18
844 794 59
443 634 87
772 733 34
792 327 21
571 582 9
665 800 72
856 919 14
9 36 25
936 207 47
682 423 62
551 717 58
932 807 56
572 704 88
157 746 11
593 436 70
365 268 58
643 601 15
259 373 29
325 541 15
463 165 32
120 532 45
115 584 39
639 582 9
29 56 98
238 823 59
54 470 82
85 407 13
182 172 92
131 697 48
406 186 60
744 814 49
568 806 84
319 221 24
661 631 79
741 655 32
162 981 24
650 834 43
40 789 3
60 276 93
818 622 8
667 983 55
237 114 17
531 416 22
825 484 88
378 436 12
584 436 37
46 442 2
259 854 86
705 64 53
352 842 63
162 399 54
389 556 88
759 470 52
163 101 12
501 399 70
125 710 59
924 526 99
527 183 34
922 504 19
897 404 27
400 707 68
161 662 28
411 155 43
709 56 54
853 531 23
552 52 11
338 812 38
899 134 87
167 309 47
831 161 19
